id,fio,fraction,rating,n_okr,okrug
86,Туров Артём Викторович,ЕДИНАЯ РОССИЯ,0,,
87,Воробьев Андрей Юрьевич,ЕДИНАЯ РОССИЯ,9,,
88,Кононов Владимир Михайлович,ЕДИНАЯ РОССИЯ,8,,
89,Аршба Отари Ионович,ЕДИНАЯ РОССИЯ,3,,
90,Терентьев Михаил Борисович,ЕДИНАЯ РОССИЯ,1,,
91,Санина Наталья Петровна,ЕДИНАЯ РОССИЯ,10,,
92,Савченко Евгений Степанович,ЕДИНАЯ РОССИЯ,3,,
93,Земцов Николай Георгиевич,ЕДИНАЯ РОССИЯ,2,,
94,Брыксин Александр Юрьевич,ЕДИНАЯ РОССИЯ,6,,
95,Скруг Валерий Степанович,ЕДИНАЯ РОССИЯ,4,,
96,Гордеев Алексей Васильевич,ЕДИНАЯ РОССИЯ,9,,
97,Макаров Андрей Михайлович,ЕДИНАЯ РОССИЯ,10,,
98,Ревенко Евгений Васильевич,ЕДИНАЯ РОССИЯ,4,,
99,Кулик Геннадий Васильевич,ЕДИНАЯ РОССИЯ,5,,
100,Гулевский Михаил Владимирович,ЕДИНАЯ РОССИЯ,2,,
101,Сапрыкина Татьяна Васильевна,ЕДИНАЯ РОССИЯ,10,,
102,Голубев Василий Юрьевич,ЕДИНАЯ РОССИЯ,7,,
103,Тимофеева Ольга Викторовна,ЕДИНАЯ РОССИЯ,0,,
104,Клыканов Александр Борисович,ЕДИНАЯ РОССИЯ,3,,
105,Водолацкий Виктор Петрович,ЕДИНАЯ РОССИЯ,9,,
106,Каминский Александр Викторович,ЕДИНАЯ РОССИЯ,9,,
107,Лавриненко Алексей Федорович,ЕДИНАЯ РОССИЯ,2,,
108,Адучиев Батор Канурович,ЕДИНАЯ РОССИЯ,1,,
109,Гетта Антон Александрович,ЕДИНАЯ РОССИЯ,10,,
110,Абдулатипов Рамазан Гаджимурадович,ЕДИНАЯ РОССИЯ,9,,
111,Сафаралиев Гаджимет Керимович,ЕДИНАЯ РОССИЯ,8,,
112,Гаджиев Магомед Тажудинович,ЕДИНАЯ РОССИЯ,5,,
113,Аскендеров Заур Асевович,ЕДИНАЯ РОССИЯ,0,,
114,Гаджиев Мурад Станиславович,ЕДИНАЯ РОССИЯ,10,,
115,Левицкий Юрий Андреевич,ЕДИНАЯ РОССИЯ,6,,
116,Кадыров Рамзан Ахматович,ЕДИНАЯ РОССИЯ,0,,
117,Селимханов Магомед Саламович,ЕДИНАЯ РОССИЯ,2,,
