id Declarator,"ФИО депутата, автора законопроекта","Количество законопроектов, внесенных депутатом в указанный период","Количество внесенных законопроектов, подписанных президентом","Процент успешных законопроектов, %",Сумма дней прохождения всех законопроектов,Среднее количество дней прохождения законопроекта депутата-автора,Примечания,Служебное
129,Кабанова Валентина Викторовна,6,2,"33,33%",415,"207,5",,
13066,Мельник Владимир Иванович,6,2,"33,33%",415,"207,5",,
9124,Вострецов Сергей Алексеевич,10,3,"30,00%",466,"155,3333333",,
551,Марданшин Рафаэль Мирхатимович,10,3,"30,00%",534,178,,
439,Сидякин Александр Геннадьевич,31,9,"29,03%",1558,"173,1111111",,
17672,Окунева Ольга Владимировна,7,2,"28,57%",251,"125,5",,
606,Аршинова Алёна Игоревна,7,2,"28,57%",346,173,,
269,Исаев Андрей Константинович,21,6,"28,57%",1094,"182,3333333",,
14162,Тутова Лариса Николаевна,7,2,"28,57%",398,199,,
257,Тарасенко Михаил Васильевич,14,4,"28,57%",862,"215,5",,
31983,Изотов Алексей Николаевич,7,2,"28,57%",630,315,,
13,Гаврилов Сергей Анатольевич,18,5,"27,78%",699,"139,8",,
259,Терентьев Михаил Борисович,11,3,"27,27%",596,"198,6666667",,
30,Мельников Иван Иванович,37,10,"27,03%",1099,"109,9",,
417,Выборный Анатолий Борисович,12,3,"25,00%",264,88,,
214,Панина Елена Владимировна,8,2,"25,00%",195,"97,5",,
381,Бифов Анатолий Жамалович,12,3,"25,00%",473,"157,6666667",,
11672,Фаррахов Айрат Закиевич,16,4,"25,00%",706,"176,5",,
14719,Павлова Ольга Ивановна,12,3,"25,00%",668,"222,6666667",,
13184,Бессараб Светлана Викторовна,9,2,"22,22%",415,"207,5",,
94,Лебедев Игорь Владимирович,47,10,"21,28%",1299,"129,9",,
89,Жириновский Владимир Вольфович,25,5,"20,00%",460,92,,
19825,Афонский Владимир Игорьевич,5,1,"20,00%",109,109,,
95,Луговой Андрей Константинович,5,1,"20,00%",157,157,,
602,Лебедев Олег Александрович,15,3,"20,00%",473,"157,6666667",,
511,Синельщиков Юрий Петрович,30,6,"20,00%",1215,"202,5",,
32016,Шолохов Александр Михайлович,5,1,"20,00%",219,219,,
622,Красов Андрей Леонидович,16,3,"18,75%",398,"132,6666667",,
22038,Бальбек Руслан Исмаилович,11,2,"18,18%",310,155,,
31921,Натаров Сергей Васильевич,11,2,"18,18%",342,171,,
15065,Гладких Борис Михайлович,6,1,"16,67%",149,149,,
189,Шхагошев Адальби Люлевич,6,1,"16,67%",162,162,,
31764,Савченко Светлана Борисовна,13,2,"15,38%",258,129,,
15671,Гулевский Михаил Владимирович,13,2,"15,38%",630,315,,
31780,Гетта Антон Александрович,7,1,"14,29%",42,42,,
174,Герасименко Николай Федорович,7,1,"14,29%",53,53,,
31763,Савастьянова Ольга Викторовна,7,1,"14,29%",91,91,,
137,Кидяев Виктор Борисович,7,1,"14,29%",112,112,,
31924,Носов Александр Алексеевич,7,1,"14,29%",175,175,,
15457,Шулепов Евгений Борисович,7,1,"14,29%",208,208,,
142,Ковалев Николай Дмитриевич,7,1,"14,29%",274,274,,
8,Зюганов Геннадий Андреевич,30,4,"13,33%",267,"66,75",,
87,Хованская Галина Петровна,39,5,"12,82%",917,"183,4",,
31989,Затулин Константин Федорович,8,1,"12,50%",47,47,,
434,Шрейдер Виктор Филиппович,8,1,"12,50%",107,107,,
21,Кашин Владимир Иванович,32,4,"12,50%",566,"141,5",,
17511,Чернышев Михаил Анатольевич,8,1,"12,50%",193,193,,
31984,Морозов Антон Юрьевич,8,1,"12,50%",229,229,,
15302,Николаев Олег Алексеевич,90,11,"12,22%",1999,"181,7272727",,
32011,Шеремет Михаил Сергеевич,9,1,"11,11%",39,39,,
402,Ефимов Виталий Борисович,9,1,"11,11%",112,112,,
22050,Боярский Сергей Михайлович,9,1,"11,11%",219,219,,
31926,Строкова Елена Викторовна,28,3,"10,71%",574,"191,3333333",,
22695,Поклонская Наталья Владимировна,10,1,"10,00%",39,39,,
134,Кармазина Раиса Васильевна,10,1,"10,00%",76,76,,
31850,Костенко Наталья Васильевна,10,1,"10,00%",181,181,,
9127,Гусева Ирина Михайловна,10,1,"10,00%",351,351,,
72,Драпеко Елена Григорьевна,41,4,"9,76%",1260,315,,
31766,Бахарев Константин Михайлович,11,1,"9,09%",39,39,,
31848,Козенко Андрей Дмитриевич,11,1,"9,09%",39,39,,
55,Савицкая Светлана Евгеньевна,11,1,"9,09%",141,141,,
73,Емельянов Михаил Васильевич,102,9,"8,82%",1496,"166,2222222",,
338,Диденко Алексей Николаевич,36,3,"8,33%",60,20,,
361,Андрейченко Андрей Валерьевич,12,1,"8,33%",85,85,,
19,Калашников Леонид Иванович,12,1,"8,33%",185,185,,
367,Дегтярев Михаил Владимирович,25,2,"8,00%",130,65,,
112,Шеин Олег Васильевич,65,5,"7,69%",953,"190,6",,
46,Плетнева Тамара Васильевна,30,2,"6,67%",186,93,,
15050,Куринный Алексей Владимирович,30,2,"6,67%",342,171,,
80,Миронов Сергей Михайлович,137,9,"6,57%",1275,"141,6666667",,
57,Смолин Олег Николаевич,31,2,"6,45%",466,233,,
99,Нилов Ярослав Евгеньевич,78,5,"6,41%",886,"177,2",,
31949,Рыжак Николай Иванович,47,3,"6,38%",832,"277,3333333",,
15350,Осипов Илья Владимирович,16,1,"6,25%",193,193,,
363,Курдюмов Александр Борисович,16,1,"6,25%",229,229,,
490,Белоусов Вадим Владимирович,32,2,"6,25%",486,243,,
91,Иванов Сергей Владимирович,17,1,"5,88%",189,189,,
525,Бортко Владимир Владимирович,17,1,"5,88%",219,219,,
31847,Белик Дмитрий Анатольевич,18,1,"5,56%",39,39,,
504,Кравец Александр Алексеевич,18,1,"5,56%",271,271,,
49,Рашкин Валерий Федорович,36,2,"5,56%",646,323,,
599,Ремезков Александр Александрович,61,3,"4,92%",698,"232,6666667",,
509,Дорохин Павел Сергеевич,21,1,"4,76%",141,141,,
32018,Чернышов Борис Александрович,23,1,"4,35%",115,115,,
23,Коломейцев Николай Васильевич,46,2,"4,35%",415,"207,5",,
